broad_id,name,moa,predicted_labels,SMILES
BRD-A01643550-001-04-9,prednisolone-acetate,glucocorticoid receptor agonist,16,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O
BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,16,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
BRD-A03506276-001-01-5,XL888,HSP inhibitor,0,"CC[C@@H](C)NC1=C(C=C(C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
CC[C@@H](C)NC1=C(C=C(C(=C1)C(=O)NC2C[C@H]3CC[C@@H](C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
CCC(C)NC1=C(C=C(C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
CCC(C)NC1=C(C=C(C(=C1)C(=O)NC2C[C@H]3CC[C@@H](C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N"
BRD-A03623303-045-09-5,metoprolol,adrenergic receptor antagonist,8,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
BRD-A05906449-004-01-1,lappaconite,sodium channel blocker,0,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H]([C@H]31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
BRD-A06352418-001-25-9,terfenadine,histamine receptor antagonist,17,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
BRD-A07704283-001-01-3,isofloxythepin,dopamine receptor antagonist,4,CC(C)C1=CC2=C(C=C1)SC3=C(CC2N4CCN(CC4)CCO)C=CC(=C3)F
BRD-A10070317-003-28-3,propranolol,adrenergic receptor antagonist,23,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
BRD-A10903566-003-07-7,imiloxan,adrenergic receptor antagonist,16,CCN1C=CN=C1CC2COC3=CC=CC=C3O2
BRD-A10977446-001-12-1,carvedilol,adrenergic receptor antagonist,22,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
BRD-A11990600-001-03-4,lorazepam,benzodiazepine receptor agonist,21,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
BRD-A13133631-001-04-0,fluorometholone,glucocorticoid receptor agonist,4,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
BRD-A14395271-074-17-8,mesoridazine,dopamine receptor antagonist,1,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
BRD-A16700644-003-04-4,isoxsuprine,adrenergic receptor agonist,16,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
BRD-A18696154-003-22-6,idazoxan,adrenergic receptor antagonist,13,C1CN=C(N1)C2COC3=CC=CC=C3O2
BRD-A20239487-001-24-9,atenolol-(+/-),adrenergic receptor antagonist,2,Error: 404
BRD-A23072235-050-18-5,pheniramine,histamine receptor antagonist,12,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2
BRD-A24587114-066-22-5,isoetharine,adrenergic receptor agonist,8,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
BRD-A25687296-300-04-3,emetine,protein synthesis inhibitor,0,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC
BRD-A27887842-001-04-0,prednisolone,glucocorticoid receptor agonist,16,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
BRD-A28329383-001-02-1,MTPG,glutamate receptor antagonist,2,"CC(C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N
C[C@](C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N"
BRD-A28970875-300-04-9,puromycin,protein synthesis inhibitor,12,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O
BRD-A30582499-003-05-1,tiletamine,glutamate receptor antagonist,10,CCNC1(CCCCC1=O)C2=CC=CS2
BRD-A30886737-001-02-9,florfenicol,protein synthesis inhibitor,17,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O
BRD-A35588707-001-05-5,teniposide,topoisomerase inhibitor,7,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O
BRD-A36057565-001-01-0,bruceantin,protein synthesis inhibitor,0,CC1=C(C(=O)C[C@]2([C@H]1C[C@@H]3[C@]45[C@@H]2[C@H]([C@@H]([C@]([C@@H]4[C@H](C(=O)O3)OC(=O)/C=C(\C)/C(C)C)(OC5)C(=O)OC)O)O)C)O
BRD-A36267905-003-18-4,buphenine,adrenergic receptor agonist,6,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
BRD-A41304429-001-14-8,practolol,adrenergic receptor antagonist,7,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O
BRD-A43671941-003-11-9,oxprenolol,adrenergic receptor antagonist,2,CC(C)NCC(COC1=CC=CC=C1OCC=C)O
BRD-A45498368-001-07-1,WYE-125132,mTOR inhibitor,6,CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7
BRD-A48300215-001-04-8,ajmaline,sodium channel blocker,23,CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C
BRD-A49035384-003-28-9,methacycline,protein synthesis inhibitor,19,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O
BRD-A49765801-001-04-1,fludroxycortide,glucocorticoid receptor agonist,16,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F
BRD-A50064262-001-04-7,flumethasone-pivalate,glucocorticoid receptor agonist,16,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F
BRD-A50157456-065-20-6,terbutaline,adrenergic receptor agonist,2,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
BRD-A56085258-001-01-8,LGX818,RAF inhibitor,18,C[C@@H](CNC1=NC=CC(=N1)C2=CN(N=C2C3=C(C(=CC(=C3)Cl)NS(=O)(=O)C)F)C(C)C)NC(=O)OC
BRD-A57382968-001-29-0,piroxicam,cyclooxygenase inhibitor,1,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3
BRD-A57798112-001-03-7,PD-318088,MEK inhibitor,18,C1=CC(=C(C=C1I)F)NC2=C(C(=C(C=C2C(=O)NOCC(CO)O)Br)F)F
BRD-A60197193-001-14-6,amisulpride,dopamine receptor antagonist,1,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
BRD-A64092382-003-18-3,mexiletine,sodium channel blocker,22,CC1=C(C(=CC=C1)C)OCC(C)N
BRD-A67516570-001-02-8,lafutidine,histamine receptor antagonist,1,C1CCN(CC1)CC2=CC(=NC=C2)OC/C=C\CNC(=O)CS(=O)CC3=CC=CO3
BRD-A67862938-034-14-9,naftidrofuryl,adrenergic receptor antagonist,20,CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32
BRD-A71725768-001-01-3,metoxibutropate,cyclooxygenase inhibitor,8,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=CC=C2OC
BRD-A75726477-003-21-3,clenbuterol,adrenergic receptor agonist,5,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O
BRD-A78391468-001-02-8,prednisolone-hemisuccinate,glucocorticoid receptor agonist,16,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=C[C@]34C)O
BRD-A79981887-003-16-4,midodrine,adrenergic receptor agonist,4,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
BRD-A83650191-004-02-8,A61603,adrenergic receptor agonist,0,CS(=O)(=O)NC1=C(C=CC2=C1CCCC2C3=NCCN3)O
BRD-A84174393-236-07-1,meloxicam,cyclooxygenase inhibitor,16,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
BRD-A88138582-001-04-8,halcinonide,glucocorticoid receptor agonist,16,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CCl)C)O)F
BRD-A90272038-001-01-7,CGP-37849,glutamate receptor antagonist,20,C/C(=C\C(C(=O)O)N)/CP(=O)(O)O
BRD-A91366704-001-01-9,eprinomectin,benzodiazepine receptor agonist,15,Error: 404
BRD-A93093700-001-02-9,temazepam,benzodiazepine receptor agonist,10,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
BRD-A97701745-001-16-0,pindolol,adrenergic receptor antagonist,8,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
BRD-A97739905-001-26-5,ketoprofen,cyclooxygenase inhibitor,5,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
BRD-A98990573-003-01-3,epinastine,histamine receptor antagonist,1,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N
BRD-K00615600-001-12-9,AG-14361,PARP inhibitor,1,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
BRD-K00662280-001-09-4,CL-218872,benzodiazepine receptor agonist,1,CC1=NN=C2N1N=C(C=C2)C3=CC(=CC=C3)C(F)(F)F
BRD-K00673382-001-18-9,famotidine,histamine receptor antagonist,8,"C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
C1=C(N=C(S1)N=C(N)N)CSCC/C(=N\S(=O)(=O)N)/N"
BRD-K01683783-001-02-6,TAK-901,Aurora kinase inhibitor,12,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=C(N3)N=CC(=C4)C)C)C(=O)NC5CCN(CC5)C
BRD-K02130563-001-11-4,panobinostat,HDAC inhibitor,11,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO
BRD-K02389548-001-02-5,RG2833,HDAC inhibitor,11,CC1=CC=C(C=C1)C(=O)NCCCCCC(=O)NC2=CC=CC=C2N
BRD-K02407574-001-09-7,parbendazole,tubulin polymerization inhibitor,3,CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
BRD-K02900412-001-11-3,clofoctol,protein synthesis inhibitor,23,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl
BRD-K03289018-001-02-7,CCT137690,Aurora kinase inhibitor,12,CC1=CC(=NO1)CN2CCN(CC2)C3=C4C(=NC=C3Br)N=C(N4)C5=CC=C(C=C5)N6CCN(CC6)C
BRD-K03294269-001-08-0,NU6027,CDK inhibitor,6,C1CCC(CC1)COC2=NC(=NC(=C2N=O)N)N
BRD-K03390685-001-01-7,cobimetinib,MEK inhibitor,18,C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O
BRD-K03549949-001-01-0,XL388,mTOR inhibitor,6,CC1=C(C=CC(=C1F)S(=O)(=O)C)C(=O)N2CCOC3=C(C2)C=C(C=C3)C4=CN=C(C=C4)N
BRD-K04111260-001-10-0,raclopride,dopamine receptor antagonist,5,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O
BRD-K04196797-001-24-4,oxcarbazepine,sodium channel blocker,1,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
BRD-K04548931-003-16-5,epirubicin,topoisomerase inhibitor,7,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
BRD-K05104363-001-10-0,PD-184352,MEK inhibitor,18,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
BRD-K05444225-001-01-7,E7449,PARP inhibitor,4,C1C2=CC=CC=C2CN1CC3=NC4=NNC(=O)C5=C4C(=CC=C5)N3
BRD-K05524748-003-04-4,dronedarone,adrenergic receptor antagonist,21,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC
BRD-K06753942-001-14-5,nobiletin,MEK inhibitor,4,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
BRD-K08799216-001-05-3,pelitinib,EGFR inhibitor,14,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN(C)C
BRD-K09426783-300-01-0,TAS-103,topoisomerase inhibitor,7,CN(C)CCNC1=NC2=C(C=CC(=C2)O)C3=C1C(=O)C4=CC=CC=C43
BRD-K09443272-001-03-3,PHA-680632,Aurora kinase inhibitor,12,CCC1=C(C(=CC=C1)CC)NC(=O)N2CC3=C(C2)NN=C3NC(=O)C4=CC=C(C=C4)N5CCN(CC5)C
BRD-K10670311-001-15-5,sulfasalazine,cyclooxygenase inhibitor,23,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
BRD-K10799896-001-26-2,clobetasol-propionate,glucocorticoid receptor agonist,16,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
BRD-K11071038-001-01-7,ICI-162846,histamine receptor antagonist,16,C1=CN(N=C1NC(=NCC(F)(F)F)N)CCCCC(=O)N
BRD-K11433652-001-17-0,aspirin,cyclooxygenase inhibitor,15,CC(=O)OC1=CC=CC=C1C(=O)O
BRD-K11636097-001-03-1,JNJ-7706621,CDK inhibitor,17,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
BRD-K11663430-001-02-3,pyroxamide,HDAC inhibitor,11,C1=CC(=CN=C1)NC(=O)CCCCCCC(=O)NO
BRD-K11853856-001-01-7,PJ-34,PARP inhibitor,2,CN(C)CC(=O)NC1=CC2=C(C=C1)NC(=O)C3=CC=CC=C32
BRD-K12244279-001-05-8,MEK1-2-inhibitor,MEK inhibitor,13,C1=CC=C(C(=C1)C(C#N)C(=N)SC2=CC=C(C=C2)N)C(F)(F)F
BRD-K12251893-065-04-7,vincristine,tubulin polymerization inhibitor,3,"CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9C7[C@@](C=CC9)(C([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9[C@H]7[C@@](C=CC9)([C@@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O"
BRD-K12539581-001-23-7,nocodazole,tubulin polymerization inhibitor,3,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3
BRD-K12867552-001-04-7,PCI-24781,HDAC inhibitor,11,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO
BRD-K13087974-001-02-5,CGP-52411,EGFR inhibitor,4,C1=CC=C(C=C1)NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=CC=C4
BRD-K13167095-001-02-9,AR-42,HDAC inhibitor,11,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO
BRD-K13169950-001-14-4,NSC-3852,HDAC inhibitor,7,C1=CC2=C(C=CC(=C2N=C1)O)N=O
BRD-K13249881-001-02-3,piperazine,benzodiazepine receptor agonist,23,C1CNCCN1
BRD-K13314656-001-01-0,ebastine,histamine receptor antagonist,14,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4
BRD-K13390322-001-06-3,AT-7519,CDK inhibitor,0,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl
BRD-K13662825-001-07-5,dinaciclib,CDK inhibitor,0,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@H]4CCO
BRD-K13810148-311-03-2,givinostat,HDAC inhibitor,11,CCN(CC)CC1=CC2=C(C=C1)C=C(C=C2)COC(=O)NC3=CC=C(C=C3)C(=O)NO
BRD-K14003026-003-09-0,ritodrine,adrenergic receptor agonist,10,"C[C@H]([C@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O
C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O
CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O"
BRD-K15071410-001-01-1,tiotidine,histamine receptor antagonist,4,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N
BRD-K16195444-003-26-0,oxymetazoline,adrenergic receptor agonist,16,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
BRD-K16277217-001-10-9,piperacetazine,dopamine receptor antagonist,5,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO
BRD-K16478699-001-09-2,PLX-4720,RAF inhibitor,12,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F
BRD-K17294426-050-12-3,clebopride,dopamine receptor antagonist,20,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N
BRD-K17610631-001-03-3,indisulam,CDK inhibitor,9,C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl
BRD-K17702546-001-03-2,PD-168393,EGFR inhibitor,14,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
BRD-K17743125-001-08-4,belinostat,HDAC inhibitor,11,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO
BRD-K20290250-001-02-1,BIX-02188,MEK inhibitor,2,CN(C)CC1=CC(=CC=C1)N=C(C2=CC=CC=C2)C3=C(NC4=C3C=CC(=C4)C(=O)N)O
BRD-K20468903-001-01-6,BNC105,tubulin polymerization inhibitor,3,CC1=C(C2=C(O1)C(=C(C=C2)OC)O)C(=O)C3=CC(=C(C(=C3)OC)OC)OC
BRD-K20722021-001-02-1,CEP-32496,RAF inhibitor,10,CC(C)(C1=CC(=NO1)NC(=O)NC2=CC(=CC=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(F)(F)F
BRD-K21528677-001-02-8,desonide,glucocorticoid receptor agonist,16,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@]35C)O
BRD-K21565985-001-22-5,xylazine,adrenergic receptor agonist,8,CC1=C(C(=CC=C1)C)NC2=NCCCS2
BRD-K21673112-003-01-3,BF2.649,histamine receptor antagonist,5,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl
BRD-K21680192-300-14-4,mitoxantrone,topoisomerase inhibitor,7,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,12,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N
BRD-K22503835-001-11-0,scriptaid,HDAC inhibitor,11,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO
BRD-K23363278-001-02-1,CYT-997,tubulin polymerization inhibitor,3,CCC[C@@H](C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC
BRD-K23677682-003-01-2,voreloxin,topoisomerase inhibitor,7,CN[C@H]1CN(C[C@@H]1OC)C2=NC3=C(C=C2)C(=O)C(=CN3C4=NC=CS4)C(=O)O
BRD-K24869513-001-02-1,CNX-2006,EGFR inhibitor,14,COC1=C(C=CC(=C1)NC2CN(C2)CCF)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)C(F)(F)F
